trial,response,stimFile,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,sound_p.started,sound_p.stopped,fixation.started,fixation.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sound_1.started,sound_1.stopped,fix.started,fix.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_4.started,text_4.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,key_resp_2.rt,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5,nogo,silent.wav,0,0,0,4,,,,,97.6397030998487,None,102.62244759988971,None,104.67230341997929,None,104.67995469993912,None,None,104.67995469993912,106.18914219993167,,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
8,nogo,silent.wav,0,1,1,7,,,,,,,,,106.6390059598256,None,106.63302710000426,None,None,106.63302710000426,108.13929159985855,,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
4,go,piano_min50db.wav,0,2,2,3,,,,,,,,,108.63895366000943,None,108.63345179986209,None,None,108.63345179986209,110.13915840000845,,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
2,go,piano_min30db.wav,0,3,3,1,,,,,,,,,110.63882605996915,None,110.63360009994358,None,space,110.63360009994358,None,0.8902859999798238,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
1,go,piano_min20db.wav,0,4,4,0,,,,,,,,,111.55584265999497,None,111.55553020001389,None,space,111.55553020001389,None,0.9126736000180244,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
3,go,piano_min40db.wav,0,5,5,2,,,,,,,,,112.50583225986921,None,112.50588059984148,None,space,112.50588059984148,None,1.1459597998764366,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
6,nogo,silent.wav,0,6,6,5,,,,,,,,,113.68882615990006,None,113.68831579992548,None,None,113.68831579992548,115.18909209989943,,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
7,nogo,silent.wav,0,7,7,6,,,,,,,,,115.70550105986186,115.69766239984892,115.69766239984892,115.69766239984892,None,115.69766239984892,117.20578019996174,,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
4,go,piano_min50db.wav,1,0,8,3,,,,,,,,,117.72267406000756,117.7218128000386,117.7218128000386,117.7218128000386,None,117.7218128000386,119.2224242000375,,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
1,go,piano_min20db.wav,1,1,9,0,,,,,,,,,119.73897555992008,119.74309799983166,119.74309799983166,119.74309799983166,space,119.74309799983166,None,0.740985699929297,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
8,nogo,silent.wav,1,2,10,7,,,,,,,,,120.52247855984606,None,120.5216012999881,None,None,120.5216012999881,122.02254719985649,,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
3,go,piano_min40db.wav,1,3,11,2,,,,,,,,,122.53892735983246,122.53417650004849,122.53417650004849,122.53417650004849,space,122.53417650004849,None,0.8137875001411885,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
7,nogo,silent.wav,1,4,12,6,,,,,,,,,123.38892755992711,125.38914939993992,123.39064110000618,None,None,123.39064110000618,124.90566879999824,,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
5,nogo,silent.wav,1,5,13,4,,,,,,,,,125.42245325990953,None,125.42083269986324,125.42083269986324,None,125.42083269986324,126.92267799982801,,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
2,go,piano_min30db.wav,1,6,14,1,,,,,,,,,127.43903325996362,127.43701420002617,127.43701420002617,127.43701420002617,space,127.43701420002617,None,0.74271299992688,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
6,nogo,silent.wav,1,7,15,5,,,,,,,,,128.22177565991876,None,128.2115815000143,None,None,128.2115815000143,129.72270219982602,,,,,,,,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
,,,,,,,,,,,,,,,,,,,,,,,130.22418729984201,None,space,41.811915499856696,130.22418729984201,None,,,,,,,,,,,,,,,,,003,001,2021_Dec_01_1417,psychophysicsHKA,2021.2.3,59.95092420455255,
