trial,response,stimFile,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,sound_p.started,sound_p.stopped,fixation.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sound_1.started,sound_1.stopped,fix.started,fix.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_4.started,text_4.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,go,piano_min30db.wav,0,0,0,1,,,,,58.638932399917394,None,63.62869709986262,None,65.66205110000446,None,65.67055709986016,None,space,1.3290208999533206,65.67055709986016,None,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
1,go,piano_min20db.wav,0,1,1,0,,,,,,,,,67.04561259998007,69.04550360003486,67.0485773999244,None,None,,67.0485773999244,68.56230350001715,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
3,go,piano_min40db.wav,0,2,2,2,,,,,,,,,69.07882820004596,None,69.07586169987917,69.07586169987917,None,,69.07586169987917,70.5788123998791,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
7,nogo,silent.wav,0,3,3,6,,,,,,,,,71.09550499990581,73.09563579992391,71.09785069990903,71.09785069990903,None,,71.09785069990903,72.61242430005223,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
4,go,piano_min50db.wav,0,4,4,3,,,,,,,,,73.12896039993501,None,73.1290634998586,73.1290634998586,None,,73.1290634998586,74.62861620006151,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
5,nogo,silent.wav,0,5,5,4,,,,,,,,,75.14547350006177,77.14579520002007,75.14785750000738,75.14785750000738,None,,75.14785750000738,76.66232659993693,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
8,nogo,silent.wav,0,6,6,7,,,,,,,,,77.17911980003117,None,77.17914379993454,77.17914379993454,None,,77.17914379993454,78.67882679984905,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
6,nogo,silent.wav,0,7,7,5,,,,,,,,,79.19554269993677,79.19327010004781,79.19327010004781,79.19327010004781,space,1.1024154000915587,79.19327010004781,None,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
4,go,piano_min50db.wav,1,0,8,3,,,,,,,,,80.32894439999944,None,80.3299485000316,None,None,,80.3299485000316,81.82892549992539,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
7,nogo,silent.wav,1,1,9,6,,,,,,,,,82.34566979999653,82.34675469994545,82.34675469994545,82.34675469994545,None,,82.34675469994545,83.86235469998792,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
5,nogo,silent.wav,1,2,10,4,,,,,,,,,84.3624268000014,84.36244959989563,84.36244959989563,84.36244959989563,None,,84.36244959989563,85.86229870002717,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
8,nogo,silent.wav,1,3,11,7,,,,,,,,,86.37889310000463,86.37720149988309,86.37720149988309,86.37720149988309,None,,86.37720149988309,87.8789526000619,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
3,go,piano_min40db.wav,1,4,12,2,,,,,,,,,88.39561709999106,88.3994291999843,88.3994291999843,88.3994291999843,space,1.1443748997990042,88.3994291999843,None,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
6,nogo,silent.wav,1,5,13,5,,,,,,,,,89.57878330005332,91.57884999993257,89.58021669997834,None,None,,89.58021669997834,91.09541339986026,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
1,go,piano_min20db.wav,1,6,14,0,,,,,,,,,91.61217459994367,None,91.60970969987102,91.60970969987102,space,0.9581279000267386,91.60970969987102,None,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
2,go,piano_min30db.wav,1,7,15,1,,,,,,,,,92.61229159990324,None,92.61424769996665,None,space,0.9613999999128282,92.61424769996665,None,,,,,,,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
,,,,,,,,,,,,,,,,,,,,,,,93.59942650003359,None,space,15.800082799978554,93.59942650003359,None,,,,,,,,,,,,,,,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
2,go,piano_min30db.wav,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,109.44537390004842,None,109.45110800000839,None,space,0.8124251000117511,109.45110800000839,None,110.30509889987297,None,2.0,5.393239400116727,110.30509889987297,None,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
8,nogo,silent.wav,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,115.697275899956,None,115.70423839986324,None,None,,115.70423839986324,117.21252129995264,117.72970100003295,None,0.0,2.174273299984634,117.72970100003295,None,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
4,go,piano_min50db.wav,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,119.91387889990582,None,119.92069399985485,None,None,,119.92069399985485,121.42899399995804,121.951692200033,None,-0.0,1.1221314000431448,121.951692200033,None,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
1,go,piano_min20db.wav,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,123.08047559987753,None,123.08735099993646,None,None,,123.08735099993646,124.59560119989328,125.11546649993397,None,4.0,1.1054376000538468,125.11546649993397,None,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
3,go,piano_min40db.wav,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,126.23053860003128,None,126.23687590006739,None,space,1.226768400054425,126.23687590006739,None,127.50980099989101,None,1.0,1.1816402000840753,127.50980099989101,None,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
6,nogo,silent.wav,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,128.69752179984934,None,128.7041078999173,None,space,1.3039381001144648,128.7041078999173,None,130.0541689998936,None,0.0,0.6326154000125825,130.0541689998936,None,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
5,nogo,silent.wav,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,130.69708809992298,None,130.70284909987822,None,None,,130.70284909987822,132.2123135998845,132.73512159986421,None,-0.0,0.7038466997910291,132.73512159986421,None,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
7,nogo,silent.wav,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,133.44697309997863,None,133.45305810007267,None,None,,133.45305810007267,134.96240819990635,135.48271259991452,None,-0.0,0.5227533001452684,135.48271259991452,None,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
5,nogo,silent.wav,,,,,1,0,8,4,,,,,,,,,,,,,,,,,,,136.03108789985998,None,136.02217660006136,None,None,,136.02217660006136,137.5290124998428,138.04987009987235,None,-0.0,0.6910349999088794,138.04987009987235,None,,,004,001,2021_Dec_01_1428,psychophysicsHKA,2021.2.3,60.11298842161002,
