trial,response,stimFile,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,sound_p.started,sound_p.stopped,fixation.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sound_1.started,sound_1.stopped,fix.started,fix.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_4.started,text_4.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,key_resp_2.rt,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,go,piano_min30db.wav,0,0,0,1,,,,,18.276144200004637,None,23.268768400186673,None,25.285271960217507,None,25.304898700211197,None,space,0.9997107000090182,25.304898700211197,None,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
3,go,piano_min40db.wav,0,1,1,2,,,,,,,,,26.352242960035802,None,26.349407400004566,None,space,1.1072605999652296,26.349407400004566,None,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
1,go,piano_min20db.wav,0,2,2,0,,,,,,,,,27.502110860217364,None,27.501479800092056,None,space,0.9317773999646306,27.501479800092056,None,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
8,nogo,silent.wav,0,3,3,7,,,,,,,,,28.468913360172884,None,28.463432900141925,None,None,,28.463432900141925,29.968965200008824,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
7,nogo,silent.wav,0,4,4,6,,,,,,,,,30.485398560203613,30.477717900183052,30.477717900183052,30.477717900183052,None,,30.477717900183052,31.985293600009754,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
4,go,piano_min50db.wav,0,5,5,3,,,,,,,,,32.502528360020364,32.50193590018898,32.50193590018898,32.50193590018898,None,,32.50193590018898,34.00195840001106,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
5,nogo,silent.wav,0,6,6,4,,,,,,,,,34.518902060016984,34.514447200112045,34.514447200112045,34.514447200112045,None,,34.514447200112045,36.01861960021779,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
6,nogo,silent.wav,0,7,7,5,,,,,,,,,36.53536196020431,36.5277567000594,36.5277567000594,36.5277567000594,None,,36.5277567000594,38.03569790022448,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
5,nogo,silent.wav,1,0,8,4,,,,,,,,,38.5350173802115,40.53544990019873,38.538418900221586,38.538418900221586,None,,38.538418900221586,40.05240700021386,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
1,go,piano_min20db.wav,1,1,9,0,,,,,,,,,40.56879986021667,None,40.56083870003931,40.56083870003931,space,1.0399402000475675,40.56083870003931,None,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
6,nogo,silent.wav,1,2,10,5,,,,,,,,,41.63548936010338,None,41.62995870015584,None,None,,41.62995870015584,43.13594340020791,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
3,go,piano_min40db.wav,1,3,11,2,,,,,,,,,43.65223786015994,43.64821750018746,43.64821750018746,43.64821750018746,space,0.960363999940455,43.64821750018746,None,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
2,go,piano_min30db.wav,1,4,12,1,,,,,,,,,44.65197056010365,None,44.64762190007605,None,space,0.9210655998904258,44.64762190007605,None,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
8,nogo,silent.wav,1,5,13,7,,,,,,,,,45.60208976003341,None,45.59917200007476,None,None,,45.59917200007476,47.10204730019905,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
4,go,piano_min50db.wav,1,6,14,3,,,,,,,,,47.61915326016023,47.61626280006021,47.61626280006021,47.61626280006021,None,,47.61626280006021,49.118627100018784,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
7,nogo,silent.wav,1,7,15,6,,,,,,,,,49.618535780068484,51.6189880000893,49.62401000014506,49.62401000014506,None,,49.62401000014506,51.13560830010101,,,,,,,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
,,,,,,,,,,,,,,,,,,,,,,,51.63882070011459,None,space,15.897880600066856,51.63882070011459,None,,,,,,,,,,,,,,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
5,nogo,silent.wav,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,67.58546904018148,None,67.5841728001833,None,None,67.5841728001833,69.08550720009953,69.60136870015413,None,0.0,2.791462100110948,69.60136870015413,None,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
2,go,piano_min30db.wav,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,72.4055553601589,None,72.39751000003889,None,None,72.39751000003889,73.90207720012404,74.41965250018984,None,2.0,2.363124700030312,74.41965250018984,None,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
6,nogo,silent.wav,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,76.80408876007422,None,76.79514430020936,None,None,76.79514430020936,78.30203800019808,78.8295747002121,None,0.0,2.8863657999318093,78.8295747002121,None,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
1,go,piano_min20db.wav,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,81.73698316016234,None,81.72792500001378,None,None,81.72792500001378,83.2356495000422,83.75144820008427,None,3.0,0.8580890998709947,83.75144820008427,None,,,,008,001,2021_Dec_01_1501,psychophysicsHKA,2021.2.3,60.07514200028877,
